,feature,class
868,"[-3.57415649e+02  1.26158226e+02 -1.78962479e+01  4.74853783e+01
 -6.31804228e+00  1.92103767e+01 -6.33353615e+00 -2.36322045e+00
 -1.55867310e+01 -9.25052071e+00 -4.10577893e-01 -6.95163012e+00
 -2.79855180e+00 -1.04837294e+01  1.19092598e+01 -2.76970005e+00
 -2.51563764e+00 -3.71831059e+00 -3.16095591e+00 -8.21648407e+00
 -1.52349482e+01 -2.88415027e+00 -1.25375290e+01 -5.81682587e+00
 -9.15304852e+00 -7.57878780e+00 -7.76231146e+00 -6.90487099e+00
  1.60357412e-02 -6.29860640e+00 -4.41186523e+00 -5.06489325e+00
 -1.95757687e+00 -6.79415560e+00 -6.41313457e+00 -3.36785698e+00
 -4.74845839e+00 -4.83233643e+00 -7.33031988e+00 -6.79473019e+00]",male
869,"[-3.1352798e+02  1.2996700e+02 -7.8072200e+00  4.4757603e+01
 -7.5079770e+00  1.3368257e+01 -1.1328012e+01 -2.0290112e+00
 -3.8119025e+00 -8.5362616e+00  2.8217769e-01 -4.2348456e+00
  2.8200083e+00 -9.5458508e+00 -2.2697454e-02 -1.7460506e+00
 -2.6312981e+00 -3.2695668e+00 -1.8399970e-01 -3.6615396e+00
 -7.5007811e+00  1.7688874e+00 -6.3814211e+00 -1.9840230e+00
 -3.1433125e+00 -3.3936892e+00 -3.9252002e+00 -3.2668047e+00
 -1.3322483e+00 -5.1791968e+00 -1.2379988e+00 -4.3398619e+00
 -4.4355872e-01 -4.3838835e-01 -1.0103323e+00  2.2827628e+00
  1.8392003e+00  1.6535218e+00  1.8249874e+00  3.8193228e+00]",male
870,"[-3.1653741e+02  1.4728896e+02 -2.1864340e+01  5.2377800e+01
 -2.3708591e+01  2.9275404e+01 -2.6164474e+01  8.1870384e+00
 -1.3137658e+01  7.0780164e-01  8.6016407e+00 -2.8339145e+00
  8.1043024e+00 -1.8210104e+01  9.4410143e+00 -6.7606230e+00
  1.6430098e+00 -5.9510455e+00 -2.8116713e+00 -5.1584430e+00
 -7.1327276e+00  2.2858322e+00 -1.2123641e+01 -7.2639471e-01
 -7.6783838e+00  5.1138359e-01 -7.5439939e+00 -4.0520616e+00
 -1.4604990e-01 -4.1798882e+00 -4.3260887e-02 -5.4473906e+00
 -3.8282534e-01 -5.0108013e+00  4.3557742e-01 -3.9755232e+00
 -3.4953475e+00 -2.8374841e+00 -2.9875948e+00 -2.3323894e+00]",male
871,"[-3.10606903e+02  1.43959579e+02 -4.13874130e+01  3.22323837e+01
 -2.76524639e+01  8.89337897e-01 -2.66939583e+01 -1.53151951e+01
 -2.12671680e+01 -1.58438616e+01 -1.34977665e+01 -1.49955235e+01
 -7.99478292e-01 -2.19741096e+01 -1.41455209e+00 -1.39926977e+01
 -1.31985350e+01 -7.77712917e+00 -1.10914583e+01 -9.76906395e+00
 -1.26105156e+01 -5.86738110e+00 -1.25999784e+01 -6.30895281e+00
 -7.94698048e+00 -6.69019985e+00 -8.68117809e+00 -4.86175919e+00
 -1.70197713e+00 -3.58921885e+00  4.42121387e-01 -3.60708094e+00
  7.78425097e-01 -4.26789665e+00 -9.40867126e-01 -7.70281971e-01
 -2.31651640e+00 -5.71995899e-02 -4.24930573e+00 -8.29174757e-01]",male
872,"[-1.4168752e+02  1.4920769e+02 -3.7738720e+01  4.1831261e+01
 -9.8035355e+00  7.5138040e+00 -2.1820242e+01 -1.3266118e+01
 -1.7361231e+01 -1.7747259e+00 -6.3916144e+00 -1.0853950e+01
  5.3183851e+00 -1.8657335e+01  2.6742454e+00 -1.5839725e+00
 -4.5708995e+00 -1.3499896e+01 -3.8301191e+00  3.1577143e-01
 -1.3052611e+01 -2.3327136e-01 -7.6168103e+00 -1.2170578e+00
 -3.9883697e+00 -1.7492712e+00 -3.0726390e+00 -5.4845638e+00
 -9.9438828e-01 -5.1787453e+00  5.3538650e-02 -5.1996951e+00
 -6.0864291e+00 -5.4977760e+00 -7.3183894e-01  3.6394541e+00
  7.9425173e+00  1.1895895e+01  9.5799398e+00  5.1443858e+00]",male
873,"[-4.1936728e+02  1.5898152e+02 -1.0912912e+01  1.3581143e+01
  3.0054140e+00 -9.1644182e+00 -4.6187000e+00 -1.0545448e+01
 -7.4891663e+00 -6.9139085e+00 -5.7422009e+00 -7.0935307e+00
 -5.6027060e+00 -7.9537306e+00 -6.6494966e+00 -8.7608075e-01
 -7.6593251e+00 -5.3733487e+00 -1.7492570e+00 -6.8422627e+00
 -5.5109186e+00 -7.6263928e-01 -1.3869137e-01 -3.6704030e+00
 -2.0808001e+00 -2.2881427e+00 -4.1176257e+00 -2.9952149e+00
 -5.3957009e+00 -1.3412217e+00  2.5772643e-01 -3.2798069e+00
  2.4275510e-01 -1.7142974e-01 -2.6524968e+00 -8.3566326e-01
 -1.0835088e+00 -3.8357894e+00 -3.8558991e+00 -3.4184883e+00]",male
874,"[-1.1358647e+02  1.1256432e+02 -5.2115444e+01  4.9084602e+01
 -2.0581444e+01  1.5485421e+01 -1.8130938e+01  2.1907387e+00
 -8.0606575e+00 -6.3879962e+00  2.7884531e+00 -6.7698383e+00
  4.0481508e-01 -1.2338236e+01  8.8175364e+00 -7.0463200e+00
 -1.8566310e+00 -1.6378899e+00  7.1457669e-02 -1.6058441e-01
 -5.2948551e+00  1.9719255e+00 -6.2240725e+00  1.9329138e-01
 -5.0642767e+00  1.6007556e-02 -3.7722731e+00 -2.8984129e+00
 -1.3124136e+00 -1.5615324e+00  3.8051538e+00 -1.4845498e-01
  5.3311005e+00  4.0257046e-01  4.0143795e+00  1.7003978e+00
  1.0418990e+00  2.1585641e+00  1.9470736e-01  1.7354783e+00]",male
875,"[-2.7280701e+02  1.3110486e+02 -6.2258366e+01  3.8737167e+01
 -2.8464802e+01  5.4387236e-01 -3.4540005e+01 -1.1440552e+01
 -2.0045002e+00 -1.4996623e+01 -7.7294550e+00 -5.6070795e+00
  4.5743217e+00 -1.0236543e+01  2.3652265e+00 -1.6307223e+00
 -5.3926072e+00 -1.2181253e+01  1.0390387e+00 -2.9779255e+00
 -1.1572704e+01  1.6728306e+00 -6.9267163e+00 -4.3062639e+00
 -9.0504942e+00 -2.5945580e+00 -3.7078805e+00 -3.4968688e+00
 -1.7293319e+00 -3.7149124e+00 -1.3233908e-01 -5.9579072e+00
 -6.9213468e-01 -3.3718362e+00 -3.2497458e+00 -5.6573792e+00
 -4.0474472e+00 -3.9981780e+00 -7.0030870e+00 -2.5891745e+00]",male
876,"[-138.42862    143.6695     -62.468967    28.96574    -33.1748
    5.6287055  -22.677998   -11.858428   -10.551713    -3.912765
   -3.5842152   -8.705786     5.85626    -18.546984    -0.6092329
   -4.737142    -6.9648013   -8.078844    -4.3258185   -5.1103377
   -7.9720507   -1.3102796   -9.176797    -1.8769209   -7.67587
   -1.8330162   -4.1835175   -3.9365447   -2.4184897   -5.363403
    1.5547516   -3.1921313    0.7805321   -1.9586583    1.0092822
    1.6163163    4.3059063    7.923208     8.68266     11.670253 ]",male
877,"[-4.3206589e+02  1.7284616e+02  6.2007132e+00  3.7032593e+01
  2.0589693e+00  1.2191998e+01 -2.2634680e+01  7.2411880e+00
 -1.0240799e+01  2.4296534e-01 -2.9291481e-01 -1.1582252e+01
  7.9716487e+00 -1.3668971e+01  2.6174710e+00 -8.1661260e-01
 -6.2280208e-01 -3.7726133e+00  6.4131582e-01 -1.3229080e+00
 -1.1034387e+01 -1.9849471e+00 -6.6747737e+00 -9.6349251e-01
 -6.5026922e+00 -4.5923390e+00 -5.5523825e+00 -4.3954463e+00
 -6.2931886e+00 -1.1854215e+01 -4.3694487e+00 -4.9809365e+00
 -5.4805577e-01 -5.2038517e-02  4.9103703e+00  7.8431706e+00
  7.8514309e+00  1.7550493e+00 -3.7724562e+00 -2.5975580e+00]",male
878,"[-2.0797742e+02  1.7643463e+02 -1.7755718e+01  2.2306265e+01
 -1.9071404e+01  7.9695630e+00 -1.2911311e+01 -9.2035351e+00
 -9.8935337e+00 -6.3183055e+00  6.7720680e+00 -4.9893320e-01
 -6.5838866e-02 -7.6008124e+00  6.5832152e+00 -2.9239635e+00
  3.4743874e+00  4.7411699e+00 -3.1011245e+00  1.4126170e+00
 -6.3715678e-01  4.2760572e+00 -2.6655643e+00 -1.0313646e-01
 -2.6593497e+00  2.1229587e-01 -2.9558792e+00 -5.8991151e+00
  2.2131135e+00 -4.3547606e+00 -1.2764826e+00 -3.0793977e+00
 -1.8663782e-01  2.8818190e-01 -2.0635910e+00  2.7292199e+00
  1.1914095e+00  2.1925457e+00  5.2919888e-01  9.5999771e-01]",male
879,"[-2.4775645e+02  1.4998174e+02 -4.4771793e+01  5.1295929e+01
 -1.3912686e+01  1.3319645e+00 -2.3402924e+01 -8.3575306e+00
 -2.0657442e+01 -1.4009287e+01 -8.4322748e+00 -1.9576031e+01
 -9.9571123e+00 -1.6687231e+01  2.0285077e+00 -1.0001083e+01
 -2.0272372e+00 -6.3460083e+00 -2.5129404e+00 -3.2915754e+00
 -1.0777234e+01 -2.3359089e-01 -6.6935825e+00  1.4975387e+00
 -8.6304779e+00 -3.6170595e+00 -5.9357991e+00 -7.5772967e+00
 -9.3421322e-01 -4.2797184e+00  1.8825084e+00 -1.5165628e+00
  2.3527954e+00 -1.7229440e+00 -1.7152942e+00 -1.7351398e+00
 -1.2813985e+00 -6.0249943e-01 -1.8870534e+00  1.0191566e+00]",male
880,"[-2.0360191e+02  1.6515590e+02 -3.6952236e+01  3.4762882e+01
 -1.3952178e+01 -7.4852667e+00 -2.0524168e+01 -9.8256521e+00
 -2.2590103e+01 -5.8794909e+00 -6.2257495e+00 -1.1906655e+01
 -1.6416518e-01 -1.2455186e+01  5.7359843e+00 -8.9892149e+00
 -3.7447572e+00 -6.1079559e+00 -5.0036955e+00 -2.6766126e+00
 -8.0121641e+00  3.0243883e-01 -8.9109097e+00  1.3715727e+00
 -1.0787793e+00  1.4200278e-01 -9.7242260e-01 -8.7777388e-01
  1.0297420e+00 -2.0737469e+00  2.7923419e+00 -3.4404082e+00
  4.9421396e-02 -3.0829964e+00 -1.3082931e+00 -2.7221971e+00
 -4.5175877e+00 -2.1826179e+00 -5.2250605e+00 -1.7054244e+00]",male
881,"[-3.63477264e+02  1.79619873e+02 -2.20999489e+01  2.16935234e+01
 -2.23073616e+01  4.48822403e+00 -7.32334518e+00 -1.02244625e+01
 -1.04872522e+01 -4.30152369e+00 -2.75578976e+00  1.81758809e+00
  4.66351175e+00 -1.28283339e+01  3.62193179e+00 -7.42650938e+00
 -6.78470516e+00 -2.16329122e+00 -2.79011154e+00 -5.53790665e+00
 -6.22060204e+00  1.52548397e+00 -7.99806404e+00 -1.17144024e+00
 -3.80232334e+00 -2.77809739e+00 -2.53898478e+00 -5.19535208e+00
 -1.73750734e+00 -4.33440828e+00 -3.93396831e+00 -5.04520416e+00
 -2.38178909e-01 -5.06174850e+00 -3.62457466e+00 -2.31751442e+00
 -5.05876827e+00 -2.08869553e+00 -2.16835761e+00 -4.11113024e-01]",male
882,"[-343.80615    140.23935    -17.398773    48.727028   -17.20618
   -7.5691986  -11.559993    -5.5697436  -20.137077   -10.500261
   -1.6306307  -14.992779    -7.3818574  -14.729093    -3.1822584
   -7.0300145   -5.174677    -8.653063    -6.5126095   -5.732265
   -8.861808    -2.262303    -8.8025465   -1.8083557   -5.352291
   -3.199317    -2.2970524   -4.940066    -3.4860458   -2.5758247
    1.0125732   -3.6383455    0.5697096   -1.2021705   -0.6749444
   -1.2720933   -2.423434    -1.6407546   -3.3180616   -1.4267119]",male
883,"[-3.0018893e+02  1.6333299e+02  7.3541346e+00  2.5981489e+01
 -1.0781602e+01  2.5421820e+01 -3.9584373e+01  5.3120837e+00
  6.3887352e-01 -2.1954017e+00 -7.1402442e-01  5.8141196e-01
  8.0037670e+00 -1.1620187e+01  1.9369934e+01 -7.5084910e+00
  1.6147437e+00  2.5075891e+00 -4.1670647e+00 -2.7505944e+00
 -6.7617855e+00  5.7582146e-01 -7.5617027e+00  4.2997484e+00
 -7.2910252e+00 -1.1876651e+00  2.6313314e-01 -2.8201137e+00
 -1.0626152e+00 -2.9171884e+00 -5.8495921e-01 -4.2494864e+00
  1.4221448e+00 -5.3742681e+00  1.0462947e+00 -2.2818184e+00
 -3.0592060e+00 -1.2963319e+00 -4.1442833e+00 -1.8193167e-02]",male
884,"[-1.26670876e+02  1.44048264e+02 -4.37421074e+01  5.26251221e+01
 -2.44413662e+01  1.77827549e+01 -1.95864162e+01 -1.69274068e+00
 -1.23362780e+01 -1.36180294e+00  8.52470994e-02 -6.12211657e+00
  5.29774809e+00 -1.45804825e+01  8.79618073e+00 -1.10378017e+01
 -1.73903608e+00 -6.52824354e+00 -8.34201694e-01 -1.90098500e+00
 -1.12194071e+01  4.55831289e+00 -8.06595230e+00  1.75662220e+00
 -4.66242981e+00 -1.08521008e+00 -1.91076112e+00  9.57751989e-01
  1.52711689e+00 -4.63567305e+00  1.08898556e+00 -5.44901466e+00
  1.42178774e+00 -1.74214613e+00  1.41440189e+00 -5.09544015e-01
 -1.49051237e+00 -8.78367186e-01 -3.27776623e+00  3.66498046e-02]",male
885,"[-3.8427136e+02  1.4398409e+02 -2.7525337e+01  4.6832169e+01
 -2.1851282e+00  1.1708537e+01 -7.2212477e+00 -1.5592213e+00
 -1.0407776e+01 -5.0232401e+00 -6.4167609e+00 -6.7607050e+00
  1.5330992e+00 -1.4354146e+01  3.9703643e+00 -3.5475163e+00
 -1.7614104e+00 -2.6448936e+00 -9.1796327e-01 -4.1046581e+00
 -4.8057642e+00  2.9729652e+00 -6.5018964e+00  1.0483763e+00
 -4.5526376e+00 -2.1526951e-01 -4.1987905e-01 -1.1355500e+00
  2.3578040e-01 -2.9250016e+00  2.1593213e+00 -2.7727177e+00
  1.2345469e+00 -1.5973170e+00 -1.3671955e+00 -6.4557725e-01
 -1.5781106e+00 -5.5906934e-01 -3.2772379e+00 -1.6548132e+00]",male
886,"[-2.54991287e+02  1.78135880e+02 -2.65684147e+01  2.58914089e+01
 -1.76361504e+01 -9.84309864e+00 -2.49391785e+01 -9.68409538e+00
 -1.58095255e+01 -5.75922203e+00 -7.80426502e+00 -8.37753773e+00
  3.41148257e+00 -1.05334854e+01  5.59309244e+00 -1.70544362e+00
  8.46667588e-02 -5.18787909e+00  2.58425027e-01 -1.96317005e+00
 -7.03480387e+00  2.65715075e+00 -7.09566069e+00  1.29541230e+00
 -3.76211733e-01  7.35679686e-01 -2.15025827e-01  9.98835862e-01
  6.93280578e-01 -7.74237037e-01  1.35165823e+00 -2.08052588e+00
  2.56747961e+00 -3.74082184e+00  1.57048631e+00 -1.43289399e+00
 -2.89554405e+00  4.10154700e-01 -4.47928524e+00 -9.66801345e-01]",male
887,"[-3.4707278e+02  1.5712756e+02 -1.8978161e+01  2.5676693e+01
 -1.2228701e+01 -3.3881159e+00 -1.9805899e+01 -4.1465797e+00
 -5.8278780e+00 -8.9287081e+00  4.1890642e-01 -2.2925475e+00
  1.0629415e+01 -4.6519332e+00  1.5502097e-01  3.7147369e+00
 -4.3521361e+00 -7.1512232e+00 -1.5419745e+00 -3.3519003e+00
 -5.6411839e+00  4.4456592e+00 -8.0732238e-01  1.7492355e+00
  2.6918833e+00  9.9565929e-01 -7.3535013e-01  4.9633852e-01
 -5.9259832e-01 -1.6828218e+00  3.7231827e+00 -2.0863216e+00
  1.2640561e-01  2.2047417e-01  4.2714426e-01  5.8893466e-01
 -1.3682854e+00 -7.4104160e-01 -2.7665858e+00 -3.6069641e-01]",male
888,"[-2.2968716e+02  1.5059148e+02 -1.4586398e+01  4.3661076e+01
  3.1600704e+00  1.6842421e+01 -1.5952764e+01 -1.1056856e+01
 -3.9487987e+00 -1.0520627e+01 -3.4367676e+00  8.9852124e-01
 -4.4281244e+00 -9.2965374e+00  1.4838134e+01 -7.0233893e+00
 -3.0712790e+00  1.0956446e+00 -3.0314260e+00  4.7895937e+00
 -7.1626806e+00 -5.2255750e-01 -4.8908157e+00 -3.5401909e+00
 -5.2777371e+00 -4.5517168e+00 -4.6828069e-02 -2.3901043e+00
  1.8353684e+00 -2.7160702e+00 -5.1989275e-01 -1.8332378e+00
 -1.6819590e+00 -2.2343867e+00 -3.1079109e+00 -5.6579357e-01
 -1.8821518e+00  1.6424717e-01 -1.2851243e+00  1.0559214e-01]",male
889,"[-4.6025043e+02  1.4156966e+02 -3.3528545e+01  4.0235077e+01
 -1.4591304e+01  1.6581133e+01 -1.2365724e+01  4.3715450e-01
 -1.1428173e+01 -6.5140694e-01 -4.0260429e+00 -9.6903181e+00
  2.8037071e+00 -1.6501972e+01  9.9431639e+00 -2.1456521e+00
 -2.7587271e+00 -6.0330749e+00 -1.8275909e+00 -1.3362819e+00
 -8.6260366e+00  3.1216946e-01 -9.0371475e+00 -2.7079251e+00
 -7.8248820e+00 -2.4750676e+00 -4.4269643e+00 -5.6960130e+00
 -1.6648746e+00 -3.7164328e+00 -1.9617240e-01 -3.8345428e+00
 -2.0876582e-01 -3.4909389e+00 -1.1706012e+00 -3.2610548e+00
 -3.7027833e+00 -2.6700084e+00 -3.6609521e+00 -2.0703490e+00]",male
890,"[-3.08556488e+02  1.20110268e+02 -3.65485764e+01  4.67723503e+01
 -7.42500877e+00 -6.35268450e+00 -1.26986828e+01 -5.02805614e+00
 -2.03948975e+01 -9.40757847e+00 -3.16485286e+00 -1.05464325e+01
 -5.95872402e+00 -1.58627253e+01 -2.73895502e-01 -1.21823807e+01
 -3.50273561e+00 -1.14564776e+00 -2.08217454e+00 -2.51056385e+00
 -9.96013451e+00  1.61100888e+00 -7.31592035e+00 -5.05284452e+00
 -4.61509991e+00 -4.89527225e+00 -4.82286072e+00 -4.34989977e+00
 -1.87366891e+00 -4.23182821e+00 -1.87043154e+00 -4.36802053e+00
 -2.58091331e+00 -4.83739853e+00 -3.44979024e+00 -3.69501686e+00
 -4.71289587e+00 -3.60203552e+00 -3.70499659e+00 -1.98309815e+00]",male
891,"[-3.1858005e+02  1.5052148e+02 -2.0281111e+01  2.4261583e+01
 -2.2829155e+01  1.5501389e-01 -1.9178131e+01 -1.7662308e+01
 -1.2811676e+01 -8.7472277e+00 -1.2295494e+01 -9.0119362e+00
 -7.8821878e+00 -2.1526930e+01 -7.2119492e-01 -9.4840975e+00
 -1.1684296e+01 -1.1558219e+01 -4.5013633e+00 -9.2699041e+00
 -1.3368964e+01 -3.1568551e+00 -1.1553675e+01 -5.1024537e+00
 -1.0771305e+01 -1.0759128e+01 -8.4625864e+00 -8.8397198e+00
 -9.5053587e+00 -7.9973125e+00 -4.4024386e+00 -9.2031603e+00
 -4.7838521e+00 -8.0637617e+00 -4.8363791e+00 -4.9608440e+00
 -5.3212562e+00 -3.2826068e+00 -4.4763708e+00 -2.1178837e+00]",male
892,"[-316.68945     154.38661     -42.904648     60.792908    -16.639814
   23.746468    -13.539381      5.3578525    -0.62726915    5.500129
    3.0224996    -4.0487027    17.740768     -8.559374     13.653134
   -5.092299     -1.5903912    -1.4582771    -4.025999      4.177327
   -8.262375      5.161541      2.1257217     1.1594025    -5.0043707
    1.1074097    -0.8337715    -1.1743165     1.1828216    -2.3502605
    3.1107795    -2.2787807     3.7250886    -2.3333466    -1.6814934
   -0.38092524   -3.4431343    -2.4999726    -5.9230943    -3.9545925 ]",male
893,"[-375.2186      132.54924      -3.818688     55.658367    -10.163572
   26.15553     -24.332516     -1.1539285   -16.7812      -11.993988
   -4.3575783   -12.245834     -0.45066637  -15.303059     10.110044
   -9.52784      -2.1906724    -5.6469617    -4.7723966    -2.6778002
  -10.9484415     1.0559045   -12.103367     -3.6974094    -8.691112
   -4.600828     -4.95275      -5.642582     -2.0435183    -6.7291975
   -0.4695081    -4.973609     -1.3792534    -4.7304235    -1.8857573
   -1.6723887    -3.874258     -2.7309887    -4.5756474    -2.3119395 ]",male
894,"[-4.2615317e+02  1.3711195e+02 -1.4573160e+00  3.1613306e+01
 -3.0026009e+00  5.0601101e+00 -1.6753481e+01 -1.4845970e-01
 -1.5199509e+01 -8.2693872e+00 -3.0839837e+00 -7.9187889e+00
  4.6491310e-01 -1.4125493e+01  4.7791324e+00 -4.5374618e+00
  1.8656392e-01  3.2712936e+00 -5.2230964e+00 -5.2192311e+00
 -5.6103539e+00 -4.2641374e-01 -1.1499060e+01 -4.2758708e+00
 -8.7767285e-01 -2.5074522e+00 -6.0180688e+00 -4.5012431e+00
 -1.2457910e-01 -3.5556779e+00 -1.2129633e+00 -2.8806176e+00
 -2.2538986e+00 -4.8239436e+00 -2.0963829e+00 -2.8272834e+00
 -4.4646401e+00 -3.1376579e+00 -4.1748953e+00 -2.0762446e+00]",male
895,"[-3.0214383e+02  1.5026904e+02 -3.1666956e+01  6.1591839e+01
 -1.5382416e+01  2.1046158e+01 -1.7655355e+01  8.1384869e+00
 -5.2062731e+00 -7.9641664e-01  7.1920328e+00 -2.3357162e+00
  1.0994475e+01 -9.0647392e+00  5.2913308e+00 -8.4875908e+00
 -4.9256754e+00 -1.1875623e+01 -4.5091672e+00 -7.0111132e+00
 -1.1680198e+01 -3.9877468e-01 -8.7967052e+00  2.3272154e+00
 -9.0956898e+00 -3.5544136e+00 -3.8605812e+00 -5.4629726e+00
 -6.4546471e+00 -6.8387389e+00 -4.8595371e+00 -9.2166672e+00
  1.6712091e+00 -3.7748075e+00  1.8877881e+00 -2.2922020e+00
 -1.9421949e+00  8.8063478e-02 -8.9730108e-01  3.1256325e+00]",male
896,"[-1.7174821e+02  1.3816937e+02 -7.9563966e+00  6.6947578e+01
 -6.9416680e+00  2.5816111e+01 -1.3086368e+01 -2.9835696e+00
 -3.6464565e+00 -6.6986513e+00 -3.0726507e+00 -7.1714172e+00
  6.2940807e+00 -1.2603093e+01  2.7178190e+00 -4.1796751e+00
 -4.0211430e+00 -8.5484082e-01 -1.5478826e+00  4.4908711e-01
 -1.5295863e+00 -2.3489165e+00 -2.4147851e+00  1.0354543e+00
 -8.6172419e+00  3.3201613e+00 -2.6179225e+00 -2.4556928e+00
  1.4921479e+00 -1.8853414e+00  1.6930783e+00 -4.6528835e+00
  9.1182441e-01 -2.3772340e+00 -1.4071766e-01 -1.2406596e+00
 -8.9733779e-01 -1.9946115e-01 -2.9023240e+00  3.4645113e-01]",male
897,"[-289.259       151.47974     -48.105347     55.32369     -26.042423
    7.528689    -27.7301       -1.7276613   -15.582212    -11.386778
   -2.2829833    -9.753934      3.7234366   -18.55102       3.1311145
  -14.1703415    -6.759895     -4.96354      -8.170373     -8.201511
   -9.308462      0.72869575  -12.345052     -1.3190641    -6.138927
   -3.1716654    -4.5662875    -3.7303808    -2.3630676    -5.2544007
   -0.9036055    -6.99309      -0.87871844   -6.6404767    -2.8801181
   -4.0711136    -4.661086     -2.6278267    -5.6723323    -2.0394232 ]",male
898,"[-3.9079764e+02  1.5744928e+02 -2.3117031e+01  5.0671402e+01
 -7.0967798e+00  1.1710029e+01 -1.2015489e+01 -1.1627877e+00
  2.6376565e+00  2.5415480e+00  4.7459707e-01 -8.6187801e+00
  9.9842453e+00 -3.8264995e+00  5.2029490e+00 -3.9568501e+00
 -5.8615708e+00 -3.9586467e-01  2.6793270e+00  4.1619802e+00
 -8.2867260e+00  3.3020247e-02 -3.1023121e-01  1.7932333e-01
  1.5469941e-01  2.4378605e+00 -5.6732792e-01 -2.8818190e-01
  2.6573298e+00 -1.4586266e+00  1.6953989e+00 -4.9323434e-01
  1.5616397e+00 -3.5551076e+00 -1.7075839e+00 -5.4950420e-02
 -2.9863565e+00 -7.9301530e-01 -1.8780636e+00  9.4488245e-01]",male
899,"[-2.3644745e+02  1.4489139e+02 -2.8068140e+01  5.1475163e+01
 -3.2312691e+01  1.5863793e+01 -7.5913410e+00 -6.9552511e-01
 -8.6068106e+00 -3.3058708e+00 -1.1396731e+01 -4.6890202e+00
  1.2608600e+01 -1.4299165e+01  9.4342308e+00 -4.4697394e+00
  1.6773449e+00 -5.7453618e+00 -2.6795702e+00  5.3565687e-01
 -9.4702921e+00  1.7512751e-01 -1.0686308e+01  1.3278208e+00
 -4.9454212e+00  1.4485815e+00  1.0865612e+00 -1.5134413e+00
  4.0449562e+00 -1.9675754e-01  6.1125751e+00  2.0579457e+00
  6.5607109e+00  3.3441904e-01 -8.8439816e-01 -2.2478642e+00
 -4.0507040e+00 -1.7304162e+00 -4.6822586e+00 -9.8309338e-01]",male
900,"[-1.5943141e+02  1.6479321e+02 -5.1965172e+01  6.4883171e+01
 -1.0642698e+01  3.1381598e+01 -1.8445591e+01  6.7522702e+00
 -1.2531309e+01 -2.3183014e+00  1.1488001e+00 -4.3364348e+00
  1.5385980e+01 -6.0941701e+00  1.0687699e+01 -8.9562359e+00
  6.6423750e+00 -7.8570590e+00 -5.6323056e+00 -2.0028083e+00
 -1.0342386e+01  1.2118462e+00 -6.1790733e+00  2.9884951e+00
 -8.1763773e+00  1.9684795e+00 -2.7725239e+00 -9.1598731e-01
 -1.1932627e+00 -4.4254208e+00  2.0125191e+00 -4.4166918e+00
  2.3256016e+00 -3.3364518e+00  6.2418216e-01 -5.7695403e+00
 -2.0978680e+00 -9.7278774e-01 -3.4033849e+00 -7.1202882e-02]",male
901,"[-3.46109589e+02  1.40504547e+02 -1.59152956e+01  4.25570412e+01
 -1.38211536e+00 -3.17292190e+00 -1.12916298e+01 -2.80324435e+00
 -1.74104557e+01 -1.25845537e+01 -1.69582593e+00 -7.57382059e+00
 -8.91251469e+00 -1.16814165e+01  2.30557156e+00 -1.08307905e+01
 -4.28707027e+00 -4.87626219e+00 -5.85557318e+00 -2.31399369e+00
 -7.25580502e+00  2.93700010e-01 -4.06699324e+00 -3.17963219e+00
 -4.77567244e+00 -3.98128152e+00 -7.69692993e+00 -5.14024162e+00
 -4.55711746e+00 -9.46775627e+00 -4.01796293e+00 -5.75852013e+00
 -3.42779708e+00 -6.79959106e+00 -5.61679506e+00 -3.75915694e+00
 -4.40677452e+00 -4.07202578e+00 -5.05107021e+00 -2.64567924e+00]",male
902,"[-344.24664    145.9861     -24.710247    37.703556   -18.108376
    5.912249   -15.140263    -5.3350635  -18.963741   -13.661637
   -8.160067   -12.233099    -3.20361    -18.623251     3.5147436
  -10.004214    -9.682174    -2.2796352   -3.164646    -5.996744
   -7.432069    -1.0047909  -10.790119    -2.5648768   -7.1617966
   -4.220788    -2.7791314   -4.5089273   -2.2645178   -5.183772
   -2.7938893   -6.0564036   -3.8208432   -8.311584    -4.5844316
   -5.2537675   -6.952272    -3.168427    -6.503488    -4.104116 ]",male
903,"[-3.0042227e+02  1.7980023e+02 -4.5621105e+01  2.1450277e+01
 -8.4578924e+00 -7.8795199e+00 -1.5608202e+01 -5.8385816e+00
 -1.7471972e+01 -2.9374239e+00 -8.7092438e+00 -1.0713545e+01
  1.0804880e+00 -1.6311226e+01  4.7558370e+00 -1.9254881e+00
  6.4114583e-01 -2.7401540e+00 -2.2167726e+00  1.8085161e+00
 -7.4777236e+00 -7.1878308e-01 -5.6478591e+00 -2.7964251e+00
 -8.6505442e+00 -1.8731223e-03  3.0306926e+00 -6.9300766e+00
  2.3818919e-01  1.8404175e+00 -2.9978282e+00 -5.3511028e+00
  1.3205731e+00 -2.7557964e+00 -4.1652122e+00 -2.7603352e+00
 -3.4135628e+00 -1.6013721e+00 -2.8379467e+00 -2.0100522e+00]",male
